Lista de Productos,Precios,Descuento,Marca,Supermercado,Image URL,Lista de Productos Normalizados
flan sabor a chocolate de 150 g,S/  4.50,,Por Tottus,Tottus,,[CLS] fl ##an sabor a chocolate de 150 g [SEP]
arroz gourmet extra añejo gran chalán de 5 kg,S/  24.70,,BIMBO,Tottus,,[CLS] arroz go ##urm ##et extra a ##ñ ##ejo gran cha ##lán de 5 kg [SEP]
sal de maras gruesa con hierbas mediterráneas tottus 90 gr,S/  9.90,,BIMBOLETES MINIX X 130G,Tottus,,[CLS] sal de mara ##s gr ##uesa con hier ##bas med ##iter ##rán ##eas tot ##tus 90 gr [SEP]
fideos rigatoni nicolini de 250 g,S/  1.90,,Por Tottus,Tottus,,[CLS] fi ##deo ##s ri ##gato ##ni nic ##olin ##i de 250 g [SEP]
aceite de oliva extra virgen el olivar 200 ml,S/  12.80,,EL OLIVAR,Tottus,,[CLS] aceite de oli ##va extra vir ##gen el oli ##var 200 ml [SEP]
fideo canuto rayado tottus 250 g,S/  1.80,,Aceite de Oliva Extra Virgen El Olivar 200 mL,Tottus,,[CLS] fi ##deo can ##uto raya ##do tot ##tus 250 g [SEP]
fideos cortos letras molitalia 250 g,S/  2.30,,Por Tottus,Tottus,,[CLS] fi ##deo ##s corto ##s letras mol ##ital ##ia 250 g [SEP]
lenteja - bolsa 1 kg,S/  8.30,,TOTTUS,Tottus,,[CLS] lente ##ja - bol ##sa 1 kg [SEP]
filete de atún artesanal campomar de 100 g,S/  7.50,,Fideo Canuto Rayado Tottus 250 g,Tottus,,[CLS] file ##te de at ##ún artes ##ana ##l campo ##mar de 100 g [SEP]
keke familiar naranja bimbo 380 g,S/  9.90,,Por Tottus,Tottus,,[CLS] ke ##ke familiar nar ##anja bi ##mbo 380 g [SEP]
arroz parboilizado costeño 750 g,S/  5.50,,MOLITALIA,Tottus,,[CLS] arroz par ##bo ##ili ##zado coste ##ño 750 g [SEP]
sólido de atún en aceite de 170 g,S/  5.80,,Fideos cortos letras Molitalia 250 g,Tottus,,[CLS] só ##lido de at ##ún en aceite de 170 g [SEP]
sal light biosal 125g,S/  4.10,,Por Tottus,Tottus,,[CLS] sal light bio ##sal 125 ##g [SEP]
conserva de frijoles negros en salmuera 400 g,S/  3.90,,TOTTUS,Tottus,,[CLS] conserva de fri ##jo ##les negros en sal ##mu ##era 400 g [SEP]
el manjar dulce de leche de 500 g,S/  12.50,,Lenteja - Bolsa 1 kg,Tottus,,[CLS] el manj ##ar dulce de lec ##he de 500 g [SEP]
mostaza libby's 200 g,S/  5.30,,Por Tottus,Tottus,,[CLS] most ##aza lib ##by ' s 200 g [SEP]
fettuccini de huevo 500 g,S/  7.80,,LA MONTANARA,Tottus,,[CLS] fet ##tu ##cci ##ni de hu ##evo 500 g [SEP]
pudín dietético sabor a vainilla 19 g,S/  3.90,,Fettuccini de Huevo 500 g,Tottus,,[CLS] pu ##dí ##n diet ##ético sabor a vain ##illa 19 g [SEP]
mezcla para keke de vainilla de 510 g,S/  12.90,,Por Tottus,Tottus,,[CLS] mezcla para ke ##ke de vain ##illa de 510 g [SEP]
salsa de ajo y kión kikko de 350 ml,S/  4.60,,MALCREADO33542,Tottus,,[CLS] salsa de ajo y ki ##ón ki ##kko de 350 ml [SEP]
ketchup de 200 g para la alacena,S/  4.70,,Pudín Dietético Sabor a Vainilla 19 g,Tottus,,[CLS] ket ##chu ##p de 200 g para la ala ##cena [SEP]
pasta de trigo don vittorio linguini grosso de 450 g,S/  4.70,,Por Tottus,Tottus,,[CLS] pasta de tri ##go don vit ##torio li ##ngu ##ini grosso de 450 g [SEP]
pimiento piquillo gourmet de 290 g,S/  11.90,,KATZEL,Tottus,,[CLS] pi ##miento pi ##qui ##llo go ##urm ##et de 290 g [SEP]
ajos molidos tottus 215 g,S/  6.70,,Mezcla para keke de vainilla de 510 g,Tottus,,[CLS] ajo ##s mol ##idos tot ##tus 215 g [SEP]
salsa de tomate pomarola bolognesa de 370 g,S/  5.90,14%,Por Tottus,Tottus,,[CLS] salsa de toma ##te po ##mar ##ola bolo ##gnes ##a de 370 g [SEP]
sopa instantánea mixta de mar 125 gr,S/  6.70,,KIKKO,Tottus,,[CLS] so ##pa instant ##án ##ea mix ##ta de mar 125 gr [SEP]
aceite de oliva puro el olivar 200 ml,S/  12.50,,Salsa de Ajo y Kión Kikko de 350 mL,Tottus,,[CLS] aceite de oli ##va puro el oli ##var 200 ml [SEP]
vinagre de vino blanco florida de 1 litro,S/  4.60,,Por Tottus,Tottus,,[CLS] vin ##ag ##re de vino blanco flor ##ida de 1 lit ##ro [SEP]
pre mezcla fudge brownie tottus 310 g,S/  7.50,,TOTTUS,Tottus,,[CLS] pre mezcla fu ##dge brown ##ie tot ##tus 310 g [SEP]
pack de vinagre de manzana de 2 unidades,S/  24.10,,Pre Mezcla Fudge Brownie Tottus 310 g,Tottus,,[CLS] pack de vin ##ag ##re de man ##zana de 2 unidades [SEP]
mezcla para arroz con pollo seco y aguadito provenzal 58 g,S/  9,,Por Tottus,Tottus,,[CLS] mezcla para arroz con poll ##o seco y agua ##dito proven ##zal 58 g [SEP]
pimienta negra molida tottus 60 g,S/  8.40,,,Tottus,,[CLS] pi ##mien ##ta negra mol ##ida tot ##tus 60 g [SEP]
salsa de tomate pomarola casera hongo laurel 390g,S/  6,,Pack de Vinagre de Manzana de 2 unidades,Tottus,,[CLS] salsa de toma ##te po ##mar ##ola case ##ra hon ##go lau ##rel 390 ##g [SEP]
caldo sabor carne doña gusta - 6 unidades,S/  1.70,,Por Tottus,Tottus,,[CLS] cal ##do sabor carne do ##ña gu ##sta - 6 unidades [SEP]
frijol castilla,S/  4.80,,PROVENZAL,Tottus,,[CLS] fri ##jo ##l cast ##illa [SEP]
helado sabor chocolate con stevia universal 50 g,S/  4.90,,Mezcla para arroz con pollo seco y aguadito provenzal 58 g,Tottus,,[CLS] hela ##do sabor chocolate con st ##evi ##a universal 50 g [SEP]
barra cereal frutos rojos tottus x 8un x 20g,S/  5.40,,Por Tottus,Tottus,,[CLS] barra ce ##real frutos rojo ##s tot ##tus x 8 ##un x 20 ##g [SEP]
gelatina sabor pina light tottus x 22g,S/  2.90,,TOTTUS,Tottus,,[CLS] gela ##tina sabor pin ##a light tot ##tus x 22 ##g [SEP]
bimboletes marmoleado bimbo 3 unidades,S/  3.70,,Pimienta negra molida Tottus 60 g,Tottus,,[CLS] bi ##mbol ##etes marmo ##lea ##do bi ##mbo 3 unidades [SEP]
salsa de tomate tottus 160 g,S/  1.75,,Por Tottus,Tottus,,[CLS] salsa de toma ##te tot ##tus 160 g [SEP]
pepinillos salz-dill-gurken 720 ml,S/  36.30,,HENGSTENBERG,Tottus,,[CLS] pe ##pini ##llos sal ##z - dil ##l - gur ##ken 720 ml [SEP]
ajos en polvo tottus de 50 g,S/  7,,Pepinillos Salz-Dill-Gurken 720 mL,Tottus,,[CLS] ajo ##s en pol ##vo tot ##tus de 50 g [SEP]
harina de ajonjolí 250 g,S/  10,,Por Tottus,Tottus,,[CLS] hari ##na de ajo ##njo ##lí 250 g [SEP]
perejil 7 g,S/  4.50,,TOTTUS,Tottus,,[CLS] per ##eji ##l 7 g [SEP]
harina de quinua 250 gr,S/  10.49,,Ajos en polvo Tottus de 50 g,Tottus,,[CLS] hari ##na de qui ##nu ##a 250 gr [SEP]
sopa instantánea ajinomen sabor pollo 80 g,S/  1.60,,Por Tottus,Tottus,,[CLS] so ##pa instant ##án ##ea aj ##ino ##men sabor poll ##o 80 g [SEP]
cubo de sabor a carne maggi 8 unidades,S/  4.50,,GATTI,Tottus,,[CLS] cu ##bo de sabor a carne mag ##gi 8 unidades [SEP]
pasta precocida trigo nissin ramen camaron 85g,S/  1.70,,Harina de ajonjolí 250 g,Tottus,,[CLS] pasta pre ##co ##cida tri ##go ni ##ssin ra ##men cam ##aron 85 ##g [SEP]
trozos de atún en aceite de girasol real de 140 g,S/  5.70,8%,Por Tottus,Tottus,,[CLS] tro ##zos de at ##ún en aceite de gira ##sol real de 140 g [SEP]
caldo de gallina doña gusta ajinomoto - 6 unidades,S/  1.70,,BADIA,Tottus,,[CLS] cal ##do de gall ##ina do ##ña gu ##sta aj ##ino ##moto - 6 unidades [SEP]
comino sibarita 216 g,S/  4,,Perejil 7 g,Tottus,,[CLS] com ##ino si ##bari ##ta 216 g [SEP]
cazuela de lentejas tottus 425 gr,S/  5.90,,Por Tottus,Tottus,,[CLS] ca ##zu ##ela de lente ##jas tot ##tus 425 gr [SEP]
gelatina universal fresa x130 gr.,S/  4.10,,UNIVERSAL,Tottus,,[CLS] gela ##tina universal fr ##esa x ##13 ##0 gr . [SEP]
especia para sazonar carne con molino tottus de 40 g,S/  2.90,69%,GELATINA UNIVERSAL FRESA X130 GR.,Tottus,,[CLS] es ##pec ##ia para sa ##zona ##r carne con mol ##ino tot ##tus de 40 g [SEP]
alino acavillex200ml,S/  12.50,,Por Tottus,Tottus,,[CLS] ali ##no ac ##avi ##lle ##x ##200 ##ml [SEP]
romero tottus 10 g,S/  2.50,,TOTTUS,Tottus,,[CLS] rom ##ero tot ##tus 10 g [SEP]
salsa hoisin 397 g,S/  20.20,,Especia para sazonar carne con molino Tottus de 40 g,Tottus,,[CLS] salsa ho ##isin 397 g [SEP]
turrón doña pepa receta tottus 500 g,S/  11.90,,Por Tottus,Tottus,,[CLS] tur ##rón do ##ña pe ##pa re ##cet ##a tot ##tus 500 g [SEP]
mezcla polvo umsha mazamorra pina bolsa x 125g,S/  3.70,,ACAVILLE,Tottus,,[CLS] mezcla pol ##vo ums ##ha ma ##zam ##or ##ra pin ##a bol ##sa x 125 ##g [SEP]
king kong manjar de piña y maní san roque 450 g,S/  28.50,,ALINO ACAVILLEX200ML,Tottus,,[CLS] king kong manj ##ar de pi ##ña y man ##í san ro ##que 450 g [SEP]
salsa bbq original hunts x 360 gr,S/  8.90,,Por Tottus,Tottus,,[CLS] salsa b ##b ##q original hun ##ts x 360 gr [SEP]
fideos de trigo codo rayado don vittorio 500 g,S/  4.40,,TOTTUS,Tottus,,[CLS] fi ##deo ##s de tri ##go co ##do raya ##do don vit ##torio 500 g [SEP]
sazón completa,S/  10.60,,Romero Tottus 10 g,Tottus,,[CLS] sa ##zón completa [SEP]
paprika molida 15 g,S/  4.20,,Por Tottus,Tottus,,[CLS] pa ##pri ##ka mol ##ida 15 g [SEP]
nuez moscada molida,S/  13.90,,BADIA,Tottus,,[CLS] nu ##ez mos ##cada mol ##ida [SEP]
pack de sazonador de 6 unidades,S/  4.20,,Nuez moscada molida,Tottus,,[CLS] pack de sa ##zona ##dor de 6 unidades [SEP]
ají no sillao 150 ml,S/  2.40,,Por Tottus,Tottus,,[CLS] aj ##í no sil ##lao 150 ml [SEP]
pirucream spread de 280 g,S/  19.40,14%,SIBARITA,Tottus,,[CLS] pi ##ru ##cre ##am spread de 280 g [SEP]
mayonesa light tottus 100 g,S/  4.40,,Pack de Sazonador de 6 unidades,Tottus,,[CLS] mayo ##nesa light tot ##tus 100 g [SEP]
