Lista de Productos,Precios,Descuento,Marca,Supermercado,Image URL,Lista de Productos Normalizados
cubo de sabor a carne maggi 8 unidades,S/  4.50,,Por Tottus,Tottus,,cub sabor carn maggi 8 unidad
alino acavillex200ml,S/  12.50,,ACAVILLE,Tottus,,alin acavillex200ml
romero tottus 10 g,S/  2.50,,ALINO ACAVILLEX200ML,Tottus,,romer tottus 10 g
salsa hoisin 397 g,S/  20.20,,Por Tottus,Tottus,,sals hoisin 397 g
mezcla polvo umsha mazamorra pina bolsa x 125g,S/  3.70,,TOTTUS,Tottus,,mezcl polv umsha mazamorr pin bols x 125g
turrón doña pepa receta tottus 500 g,S/  11.90,,Romero Tottus 10 g,Tottus,,turron doñ pep recet tottus 500 g
king kong manjar de piña y maní san roque 450 g,S/  28.50,,Por Tottus,Tottus,,king kong manj piñ man san roqu 450 g
salsa bbq original hunts x 360 gr,S/  8.90,,LEE KUM KEE,Tottus,,sals bbq original hunts x 360 gr
paprika molida 15 g,S/  4.20,,Salsa Hoisin 397 g,Tottus,,paprik mol 15 g
mezcla polvo umsha gelatina pina bolsa x 120g,S/  3.70,,Por Tottus,Tottus,,mezcl polv umsha gelatin pin bols x 120g
arroz integral gran chalan x 750 g,S/  5.20,,UMSHA,Tottus,,arroz integral gran chal x 750 g
colapiz sin sabor de 20 g,S/  3.10,,MEZCLA POLVO UMSHA MAZAMORRA PINA BOLSA X 125G,Tottus,,colapiz sabor 20 g
arroz superior paisana 1 kg,S/  4.90,,Por Tottus,Tottus,,arroz superior paisan 1 kg
sopa de mariscos 56 g,S/  10.50,,NONGSHIM,Tottus,,sop marisc 56 g
flan vainilla royal x 80g,S/  2.90,,Sopa de mariscos 56 g,Tottus,,flan vainill royal x 80g
dip de quinoa natural ayni 200 g,S/  16.40,,Por Tottus,Tottus,,dip quino natural ayni 200 g
sazonador umami ajinomoto 100 g,S/  2.90,,ROYAL,Tottus,,sazon umami ajinomot 100 g
protein pancake de cacao amaru de 350 g,S/  24.50,16%,FLAN VAINILLA ROYAL X 80G,Tottus,,protein pancak caca amaru 350 g
harina sin preparar tottus 1kg,S/  6.90,,Por Tottus,Tottus,,harin prepar tottus 1kg
mezcla polvo umsha gelatina uva bolsa x 120g,S/  3.70,,AYNI,Tottus,,mezcl polv umsha gelatin uva bols x 120g
salsa pomodori al forno e olive sacla 285 g,S/  8.90,36%,Dip de Quinoa Natural Ayni 200 g,Tottus,,sals pomodori forn oliv sacl 285 g
hellmanns mayonesa real regular pote x 443 ml,S/  19.10,,Por Tottus,Tottus,,hellmanns mayones real regul pot x 443 ml
paneton todinno bolsa x 900gr,S/  23.90,13%,AJINOMOTO,Tottus,,paneton todinn bols x 900gr
pasta precocida nissin trigo ramen costilla 85g,S/  1.70,,Sazonador Umami Ajinomoto 100 g,Tottus,,past precoc nissin trig ram costill 85g
harina de arroz costeno x 1kg,S/  6.50,,Por Tottus,Tottus,,harin arroz costen x 1kg
maruchan pack 03 + bowl 255g,S/  16.90,,MARUCHAN,Tottus,,maruch pack 03 + bowl 255g
aceituna botija sin pepa tottus,S/  7,,Maruchan Pack 03 + Bowl 255g,Tottus,,aceitun botij pep tottus
harina preparada de 1 kg,S/  7.90,,Por Tottus,Tottus,,harin prepar 1 kg
tapenade tradicional olivos del sur  x260g,S/  14.70,,TOTTUS,Tottus,,tapenad tradicional oliv sur x260g
gelatina sabor fresa light tottus x 22g,S/  2.90,,Aceituna Botija sin Pepa Tottus,Tottus,,gelatin sabor fres light tottus x 22g
fideos munición molitalia 250 g,S/  2.30,,Por Tottus,Tottus,,fide municion molitali 250 g
paprika molida tottus 20 g,S/  2.10,,MOLITALIA,Tottus,,paprik mol tottus 20 g
fideo molitalia tallarín 450g,S/  3.70,7%,Harina preparada de 1 kg,Tottus,,fide molitali tallarin 450g
gelatina sin azúcar sabor a limón de 19 g,S/  4,,Por Tottus,Tottus,,gelatin azuc sabor limon 19 g
ají especial panquita sibarita 250 g,S/  7.60,,OLIVOS DEL SUR,Tottus,,aji especial panquit sibarit 250 g
fideo pasta corta caracol 250gr,S/  1.50,,TAPENADE TRADICIONAL OLIVOS DEL SUR  X260G,Tottus,,fide past cort caracol 250gr
keke de vainilla premezcla 450 gr,S/  8.50,,Por Tottus,Tottus,,kek vainill premezcl 450 gr
aceite de maíz florida 1 l,S/  22.90,,FLORIDA,Tottus,,aceit maiz flor 1 l
lomo de atun en aceite v campomar duopack x 150gr,S/  12.40,,Aceite de Maíz Florida 1 L,Tottus,,lom atun aceit v campom duopack x 150gr
burbujitas cereal choco 2 cerros 125 g,S/  10.90,,Por Tottus,Tottus,,burbujit cereal choc 2 cerr 125 g
frijol canario,S/  9.60,,CAMPOMAR,Tottus,,frijol canari
fideo cabello de ángel de 250 gr,S/  4,,LOMO DE ATUN EN ACEITE V CAMPOMAR DUOPACK X 150GR,Tottus,,fide cabell angel 250 gr
salsa verde peruana casa verde 330 g,S/  14.10,,Por Tottus,Tottus,,sals verd peruan cas verd 330 g
caja salsa de tomate arrabiata tottus 12 x 420 g,S/  90,,2 CERRITOS,Tottus,,caj sals tomat arrabiat tottus 12 x 420 g
sólido de atún en aceite girasol real 140 g,S/  6.90,,Burbujitas Cereal Choco 2 Cerros 125 g,Tottus,,sol atun aceit girasol real 140 g
tapenade de alcachofas a la italiana de 185 g,S/  7.90,,Por Tottus,Tottus,,tapenad alcachof italian 185 g
lentejon tottus 500g,S/  4.80,,COSTENO,Tottus,,lentejon tottus 500g
gelatina fresa universal x 150g,S/  4.10,,Frijol canario,Tottus,,gelatin fres universal x 150g
trozos atún aceite girasol real 170 g - lata 170 g,S/  6.20,,Por Tottus,Tottus,,troz atun aceit girasol real 170 g - lat 170 g
frijol panamito,S/  6.70,,COSTENO,Tottus,,frijol panamit
arroz superior vallenorte 750 g,S/  4.70,,Frijol Panamito,Tottus,,arroz superior vallenort 750 g
pimienta negra entera tottus de 20 g,S/  2.50,,Por Tottus,Tottus,,pimient negr enter tottus 20 g
arveja partida tottus de 500 g,S/  4,,VALLENORTE,Tottus,,arvej part tottus 500 g
salsa roja pouch casa verde 160g,S/  3.95,,Arroz Superior Vallenorte 750 g,Tottus,,sals roj pouch cas verd 160g
bonle manjarblanco x 1kg bolsa,S/  18.50,,Por Tottus,Tottus,,bonl manjarblanc x 1kg bols
aceituna botija entera olivos del sur 850 g,S/  14.70,,TOTTUS,Tottus,,aceitun botij enter oliv sur 850 g
sazonador ajinomoto de 100 g,S/  8.30,,Pimienta negra entera Tottus de 20 g,Tottus,,sazon ajinomot 100 g
clavo de olor badia 7.1 gr,S/  4.95,,Por Tottus,Tottus,,clav olor badi 7.1 gr
mostaza düsseldorf,S/  9.90,,TOTTUS,Tottus,,mostaz düsseldorf
helado de vainilla con stevia de 50 g,S/  4.90,,Arveja partida Tottus de 500 g,Tottus,,hel vainill stevi 50 g
gelatina sabor naranja light tottus x 22g,S/  2.90,,Por Tottus,Tottus,,gelatin sabor naranj light tottus x 22g
harina de quinua 500 g,S/  33.90,,GENERICO,Tottus,,harin quinu 500 g
