Lista de Productos,Precios,Descuento,Marca,Supermercado
Harina Sin Preparar Molitalia 1kg,S/7.40,0,Molitalia,Metro
Harina Preparada Molitalia 1kg,S/7.60,0,Molitalia,Metro
Mostaza AlaCena 400g,S/8.50,0,AlaCena,Metro
Concentrado de Espinaca y Albahaca Pomarola 170g,S/. 3.40,0,Molitalia,Metro
Pack x6 Galleta con Quinua y Chispas de Chocolate Inca Sur 30g,S/8.00,6 %,Incasur,Metro
Fideo Spaghetti Nicolini 450g,S/3.70,7 %,Nicolini,Metro
Fideo Fettuccini Don Vittorio 450g,S/4.00,13 %,Don Vittorio,Metro
Fideo Linguini Grosso Don Vittorio 450g,S/4.00,13 %,Don Vittorio,Metro
Fideo Linguini Don Vittorio 450g,S/4.00,13 %,Don Vittorio,Metro
Ají Amarillo en Pasta Cuisine & Co 200g,S/5.90,14 %,Cuisine & Co,Metro
Ají Panca en Pasta Cuisine & Co 200g,S/5.90,15 %,Cuisine & Co,Metro
Canela China en Polvo Cuisine & Co 10g,S/1.90,0,Cuisine & Co,Metro
Romero en Hojas Secas Cuisine & Co 4g,S/1.90,0,Cuisine & Co,Metro
Orégano Molido Cuisine & Co 8g,S/2.20,0,Cuisine & Co,Metro
Hongos y Laurel Cuisine & Co 10g,S/2.30,0,Cuisine & Co,Metro
Sillao Cuisine & Co 500ml,S/4.20,0,Cuisine & Co,Metro
Gelatina Umsha Sabor Fresa 120g,S/3.50,0,Umsha,Metro
Vinagreta AlaCena Pollera 190g,S/5.50,0,AlaCena,Metro
Flan Umsha Sabor Vainilla 90g,S/2.20,0,Umsha,Metro
Comino Molido Toña 50g,S/7.60,0,Toña,Metro
Ajo en Polvo Toña 18g,S/4.20,0,Toña,Metro
Canela Molida Toña 18g,S/3.80,0,Toña,Metro
Salsa Culantrito con Espinaca Envasado 550 g,S/7.80,0,Sibarita,Metro
Salsa de Ají Amarillo Envasado 550 g,S/13.12,20 %,Sibarita,Metro
Salsa de Ají Panca Envasado 550 g,S/16.10,0,Sibarita,Metro
Arroz Faraón Superior Rojo x 750 g,S/. 3.80,0,Faraon,Metro
Vinagre Blanco Sibarita Botella 500 ml,S/3.30,0,Sibarita,Metro
Pack 12 Unid Filete Atún En Agua,S/67.90,0,florida,Metro
Pasta Spaghetti Nro 5 Bolsa 1 Kg,S/5.90,6 %,Cuisine & Co,Metro
Galletas Dulces Bolsa 90 g,S/3.50,0,Chaplin,Metro
Lentejas Bebé Bolsa 500 g,S/6.10,0,Valle Norte,Metro
Pudín Sabor a Vainilla en Polvo Bolsa 110 g,S/2.56,20 %,Royal,Metro
Galletas Integrales Cracknel Integral Paquete 175 g,S/2.70,0,San Jorge,Metro
Galletas Sabor Vainilla Munición Bolsa 450 g,S/5.90,0,San Jorge,Metro
Galletas Fruta Mixta Bolsa 450 g,S/6.40,0,San Jorge,Metro
Ketchup Libby'S,S/9.30,0,Libby's,Metro
Vinagre de Manzana Frasco 500 ml,S/9.90,0,Cuisine & Co,Metro
Mostaza B&D Frasco 425 g + Kétchup B&D Frasco 425 g,S/8.96,20 %,B&D,Metro
Aceite de Oliva Cuisine & Co Botella 1 Lt,S/33.20,20 %,Cuisine & Co,Metro
Pasas Morenas Cuisine&Co Pote 250 g,S/7.60,0,Cuisine & Co,Metro
Almendras Cuisine&Co Pote 100 g,S/8.50,0,Cuisine & Co,Metro
Dulce de Leche Gloria Doypack 200 g,S/4.20,0,Gloria,Metro
Bizcocho Relleno Chocman Black Pack 6un,S/. 4.00,0,Costa,Metro
Puré de Papas Cuisine & Co Bolsa 125 g,S/4.50,0,Cuisine & Co,Metro
Maní Tostado Villa Natura 200g,S/6.90,0,Villa Natura,Metro
Frutos de Secos Cocktail Premium Villa Natura 250g,S/17.90,0,Villa Natura,Metro
Frutos Secos Berries Berry Mix Villa Natura 150g,S/7.50,17 %,Villa Natura,Metro
Frutos de Secos Cocktail Premium Villa Natura 150g,S/8.90,18 %,Villa Natura,Metro
Almendras Deshidratadas Villa Natura 80g,S/8.00,0,Villa Natura,Metro
Papas Fritas Nativas Tiyapuy Bolsa 160 g,S/. 7.50,0,Tiyapuy,Metro
Pasas Morenas Cuisine&Co Bolsa 180 g,S/4.69,0,Cuisine & Co,Metro
Pecanas Peladas Frutos y Snacks Seleccionados Cuisine & Co 80g,S/12.90,0,Cuisine & Co,Metro
Almendras Naturales Frutos y Snacks Seleccionados Cuisine & Co 90g,S/7.80,0,Cuisine & Co,Metro
Salsa de Tomate Cuisine & Co Doypack 380 g,S/4.32,20 %,Cuisine & Co,Metro
Crema de Ají Cuisine & Co Doypack 380 g,S/9.04,20 %,Cuisine & Co,Metro
Arroz Extra Añejo Cuisine & Co Bolsa 750 g,S/. 3.80,0,Cuisine & Co,Metro
Papas en Hojuelas Lay's Clásicas 150g + Tortillas de Maíz Doritos Queso Atrevido 190g,S/14.10,0,Lays,Metro
Aceite Vegetal Cuisine&Co Botella 900 ml,S/9.90,9 %,Cuisine & Co,Metro
Galletas Saladas Jamón Ahumado Crackelet Costa Bolsa 150 gr,S/3.70,0,Costa,Metro
Galleta con Avena y Uvas Pasas Quaker Pack 6 unid,S/8.90,0,Quaker,Metro
Chicle sin Azúcar de Fresa Trident 18un,S/2.88,20 %,Trident,Metro
Mayonesa Hellmann's Regular 443ml,S/13.60,30 %,Hellmann's,Metro
Salsa Roja Peruana Casa Verde 350g,S/10.50,0,Casa Verde,Metro
Galleta Chokis Chispas Clásica Pack 6un,S/8.50,0,Chokis,Metro
Aceite Vegetal Nicolini 900ml,S/10.00,11 %,Nicolini,Metro
Galletas de Chocolate Rellenas con Crema Oreo Mini Bolsa 40 g,S/1.20,20 %,Oreo,Metro
Solido De Atún En Aceite Vegetal Metro Lata 170 g,S/4.48,20 %,Metro,Metro
Tortillas de Maíz Doritos Queso Atrevido 190g,S/6.50,30 %,Frito Lays,Metro
Harina Sin Preparar Blanca Flor 1kg,S/7.30,0,Blanca Flor,Metro
Quinua Cuisine & Co 500g,S/9.20,0,Cuisine & Co,Metro
Crema De Champiñones Metro Contenido 70 g,S/3.80,0,Metro,Metro
Mayonesa Libby's 380g,S/10.90,9 %,Libby's,Metro
Ketchup Libbys Doypack 200 g,S/5.70,0,Libby's,Metro
